query	alternative query	main passage	citation
亲子沟通的影响因素有哪些	什么会影响亲子沟通	"亲子双方的人格特质、性别、孩子的年龄等都属于影响亲子沟通的个体因素。
其中人格特质对于个体的影响不仅表现在个体的沟通行为模式上，同时对个体与
他人沟通行为的认知也有一定影响。通过研究发现，外向型特质与宜人性特质的
个体在面对他人的沟通行为时都倾向于选择积极的归因。具有神经质特质的个体
在沟通中更倾向于袒露自己的担忧与敌意，因此，更难与他人搭建起理想沟通的
桥梁(Willia,Lauri & Elizabeth,1996)。 
"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
性别如何影响亲子沟通		"从性别的角度来看，有研究发现，女生的亲子沟通水平要高于男生的亲子沟
通水平。因为女生在情感表达上的能力更为突出且更倾向于向父母袒露心声(杨
晓莉、邹泓，2008)。其次，母亲与父亲相比，天然具有与孩子更加顺畅的沟通
水平和更加亲密的关系。这除了源自生理上的纽带维系之外，也与人类进化历史
长河中母亲长期扮演家庭内部角色相关。生理和社会两个层面的影响，使得母亲
在对孩子的理解性、接受性和反应灵敏性上表现的更好(Noller & Callan,1990)"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
年龄如何影响亲子沟通		"从年龄的角度来看，在孩子生长发育最为旺盛的青春期，亲子沟通的开放性
呈现出持续下降的发展趋势。但在亲子沟通的问题性维度层面则没有显著差异。
青春期中段的亲子沟通会表现出更为复杂尖锐的问题，以及更为频繁的冲突。这
源于处在青春期中段的青少年逐渐觉醒的自我意识，不断增强的自主性，和荷尔
蒙引发的身体快速生长发育下的情绪失衡状态(邹泓、杨晓莉，2005；金文凤，
2017)。 
"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
为什么学生会有悲观心理（防御性悲观）	亲子沟通和防御性悲观有什么关系	"Martin 通过访谈，于 2003 年开展了一项关于大学生为何会采用防御性悲观
策略的质性研究，结果发现家庭原因就是其中之一。他谈到在家庭环境中，部分
父母一般不提高孩子对未来的预期，这种家庭的孩子更多地使用防御性悲观策
略。另外，在避免失败的行为模式（防御性悲观、自我设限、拖延等）中，最引
人注目的相似之处在于它们与养育子女的联系。采用这些策略的个体经常出现处
于不支持、冲突的家庭氛围中，在这种氛围中，沟通和行为受到规则的制约和限
制，父母的过度控制和批评是反复出现的主题。 
"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
亲子沟通和孩子自尊的联系	孩子的自尊如何受亲子沟通影响	"武永新等人（2014）研究发现，青少年的自尊水平与其亲子沟通存在显著相
关,具体而言亲子沟通的效果越差，孩子的自尊水平就越差。反之，如果父母与
子女保持良好的沟通，则青少年更容易形成健康积极的人际交往能力，从而更加
容易建立良好的人际关系，进而更好地促进自尊的健康发展。谭甘露（2020）通
过一项追踪研究发现留守青少年亲子沟通和自尊的时间的主效应显著。综上所
述，亲子沟通质量高的家庭，其家庭环境更为轻松开放，家庭成员间的关系势必
更加亲密，使青少年获得在成长过程中所需要的温暖和安全感，这对于青少年心
理健康状况和自尊水平的提升非常有利。"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
影响初中生考试焦虑的因素？	什么会导致初中生的考试焦虑？	"根据前文中关于初中生考试焦虑的人口学变量差异分析可以看出，初中生考
试焦虑在性别、年级、独生子女上差异不显著；在生源地上差异显著，与胡炳政
（2015）的研究有部分一致。在性别上的差异不显著，可能与无论男女都得到老
师、家长相同程度的学业期待有关；在独生子女上差异不显著，可能是因为现代
社会竞争压力日益增大，无论家中有一个还是多个孩子都要承担压力。考试焦虑
在生源地上差异显著，具体体现在农村初中生的考试焦虑显著高于城市初中生。
这可能与家庭经济水平、教育水平、父母的文化水平都有一定的关系。农村学生
的家庭收入平均低于城市学生，这就导"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
孩子的自尊和考试焦虑有什么关系	孩子的自尊如何影响其对考试的焦虑程度	"自尊水平越低的初中生，越有可能对考试感到焦虑。这一结论与以往研究保持一致。Chukwuorji 等人（2015）发现自尊是考试焦虑的最强预测因子，并且进行详细测算发现，当自尊水平增加一个单位时，考试焦虑就会下降 0.21。除此之外，根据 Higgins（1987）的认知焦虑理论，当个体期望中的理想自我与实际生活中表现出来的实际自我差距过大时，就会产生认知焦虑。由此可见，低自尊水平的学生正是由于现实表现出来的自我与理想水平相差太大，才会引发考试焦虑情绪。与之相反，高自尊的学生可以清楚、客观的对自己的能力进行评估，认清两种自我之间的差距，才能在面对考试时，做到不畏惧、不胆怯，从而表现出较低的考试焦虑。 
"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
亲子沟通如何影响孩子对考试的焦虑程度	考试焦虑和亲子沟通的关系	"与国内外研究者的结论相同，考试焦虑与亲子沟通总分及开放性维度呈负相
关关系，与问题性维度呈正相关关系，也就是说，考试焦虑水平越高的初中生，
亲子沟通越可能不和谐。有研究显示，家庭教育中，父母对孩子期望水平过高，
对孩子要求较为严苛，不表扬、夸奖孩子的进步或者过分溺爱、放任孩子，日常
生活中较少听取孩子意见，较少与孩子沟通近况、想法等做法容易诱发孩子的考
试焦虑情绪（钱泞泞,2014）；与此相对，处于民主、开放的家庭氛围中的学生则
不容易产生考试焦虑情绪。 
"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
亲子沟通开放性的重要	亲子沟通技巧（开放性）	"注重亲子沟通的开放性。和谐流畅的亲子沟通有利于为孩子营造宽松
的学习氛围，使孩子能够更大程度发挥自己的潜力。开放的亲子沟通要求家长与
孩子建立起平等的对话窗口，不过分强调家长权威，随时关注孩子心态、情绪的
变化，必要时给予支持。 
"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
为什么家长不应该过于看重分数	孩子有考试焦虑症怎么办	"改善唯分数论、唯考试论的教育观念。过分看重分数、成绩，也是学
生产生考试焦虑的重要原因。教师和家长应着眼于学生身上的闪光点，用全面、
发展的眼光来看待，不将考试成绩作为衡量学生的唯一手段。"	"[1]文碧麟. 初中生亲子沟通与考试焦虑的关系[D].四川师范大学,2021."
离异对孩子的影响有哪些		家庭结构缺失对女的教育成长影响，国内外学者研究侧重点有所不同。国内学者将研究重心放在离异对家庭的影响层面上，离异型单亲家庭对子女的影响集中表现在对子女心理健康、学习教育、社交能力以及社会适应等方面的影响上。	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
离异对孩子的影响有哪些 （性格）		李家清、刘建勋在研究中发现，经历过父母离异的单亲家庭子女产生心理问题的倾向更为明显，性格变化也比较大，比如变得孤僻、缺乏自信、抗拒管教、逆反行为明显。	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
离异对孩子的影响有哪些 （心理健康		心理问题为安全感缺失、时长焦虑、不自信、抗逆力下降，容易受挫等表现。除此之外，离异型单亲家庭子女的品行障碍多于一般家庭子女，譬如早熟却不够理智、抗拒交流、对外界抱有敌意等表现。侯筱菲等人认为，单亲家长不应该对青少年子女过度保护或者对其进行严厉教养。	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
为什么单亲家长不能对孩子过度严厉	单亲家长过度严厉的后果	研究显示，长期过度保护会使子女形成过分依赖心理、社会化困难、融入社会进度慢且自身容易缺乏自信，易产生怯懦和自我捆绑的心理问题。	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
为什么单亲父母不能过度保护孩子	单亲家长过度保护孩子的后果	极度缺乏耐心与温暖的严厉教养方式则容易导致子女产生抑郁或躁郁心理疾病[2]。因此，家长情感不顺、家庭关系破灭后做出的行为会影响到子女的身心发展。	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
亲子沟通的具体含义		国外学者 Epstein（1993）在研究中指出，父母与子女的交流沟通一种是信息、观点、情感和态度的交换过程，目的是解决问题，巩固情感联结。王争艳、刘红云认为亲子沟通的目的是为了加深理解、增强信任感，也是一种通过互动进行合作的过程[1]。梳理上述定义定能够发现，国内外学者均强调了信息交换实现情感互动这一过程，由此可见，亲子沟通具有双向互动性这一特性	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
单亲家庭的亲子沟通障碍有哪些	离异如何造成亲子沟通障碍	"侯文婧(2014)在研究中指出离异单亲家庭存在沟通障碍，在亲子沟通认知上，子女表示与家长沟通不畅是明显存在的问题。除此之外，沟通内容贫乏、沟通方式单一、沟通频率低、沟通时间少和沟通缺乏主动性等问题都是造成单亲家庭的亲子关系不和谐的重要原因(秦迪迪，2015)。并且，杨威(2017)指出单亲家庭的亲子沟通分为灌输式亲子沟通、交友式亲子沟通和顺从式亲子沟通。灌输型沟通是家长对孩子有去无回，缺少互动的单向说教，顺从型沟通表现为父母对孩子听之任之的无私给予。
"	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
单亲家庭面临的亲子沟通问题		"单亲家庭的亲子沟通状况存在异于一般完整家庭的地方：一是沟通意愿弱，部分单
亲子女不愿意直面问题，排斥甚至拒绝沟通，这一现象背后的原因是复杂多样的"	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
单亲家庭对孩子的影响（社会舆论）		社会舆论很大程度上会影响单亲子女的自我认知，对外界社会产生抵触情绪，削弱表达欲，抗拒沟通，严重的甚至影响正常社交	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
单亲家庭孩子的影响		"社会大众长期以来对单亲家长的同情和对单亲子女的怜悯，无形中导致单亲家庭自身对社会定位产生偏差，成为社会大众视角下的不幸者，自带“不幸”标签。更有甚者认为单亲家庭背景下长大的子女或多或少伴随心理问题，言行举止会被不自觉得牵扯到家庭层面上，这种社会舆论下的刻板印象使得单亲家庭子女反感自身的“与众不同”父母是孩子最好的老师，缺失任何一方都会或多或少的影响到孩子的认知形成和人格发展。面对沟通分歧和障碍，一对一的亲子沟通无法借助缺失的一方进行进一步协调和破壁，父母双方作为第一监护人，这种力量是其他亲属所无法代替给予的。
"	"[1]张晓夕. 单亲家庭亲子沟通能力提升的小组工作干预研究[D].西北大学,2021."
倾听的重要性		有这么一句话:“倾听花开的声音，我们能读懂花儿的心思;倾听溪水的歌 声，我们能读懂山林的呼吸;倾听孩子的心声，我们能走进孩子的心灵。”倾听 是一项技巧，是一种修养，更是一门艺术。懂得倾听，有时比会说更重要。作为 家长的我们首先要学会倾听孩子的声音，才能更好地伴随孩子共同成长。 	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
为什么家长要会倾听孩子的心声	倾听孩子心声的重要性	"虽然，孩子在成长的过程中我们做家长的倾注了许多心血，但我们还是没 有做到与孩子真正地交流与沟通，遇到问题，没有给孩子申辩诉说的机会，总是 高高在上，以家长自居。处于成长期的孩童，是非观念不是很强，很容易受到外 界的干扰，思想左右摆动，但孰不知他们也有自己特有的逻辑思维能力，他们所 做的每件事都有自己的理由和见解。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
发现孩子问题后，家长应该做什么？	家长在察觉孩子问题后，该如何应对	"当我们发现孩子出现问题后，我们作 家长的首先不要慌张，也不要夸大事实真相，我们应该冷静地去分析问题，尊重 孩子独立的人格尊严，创造条件，尽可能地让孩子说出来，了解孩子的内心深处， 然后因势利导，把准脉搏，帮助孩子认识到问题之所在，从根本上解决问题。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
家长处理孩子问题的现状		"大多数家长总是认识不到倾听孩子诉说的重要 性，孩子一旦有问题，往往从自己的个人意愿出发，不分青红皂白，意气用事， 甚至给孩子解释的机会也不给，胡乱评判，乱加指责，轻则呵斥，重则打骂。
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
父母不倾听的弊端	父母不倾听的坏处	"长此以往，孩子不愿张口说话，更不愿寻求父母的帮助，只好将委屈和不满埋藏在 心底，郁积在心中的感情得不到宣泄，这将对孩子的心理健康十分不利。近年来， 校园欺凌事件常有发生，多数与此有关。另一方面，家长和孩子的积怨越来越多， 导致孩子产生与父母的对抗心理，亲子关系存在问题，为以后的相处埋下了祸患。 现如今，在父母和孩子相处的过程中，弑母，杀子的案例比比皆是，给社会造成 极其恶劣的影响。 

"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
家长该如何倾听孩子		"当然，跟孩子平等相处，尊重孩子的话语权并不是放纵孩子，而是一种家 教艺术。只有认真倾听孩子的心声，才能更好地了解孩子的内心世界，对他们的 所思所想了如指掌，这将有利于家长和孩子之间有效地沟通与交流，掌握孩子的 问题所在，才能对症下药，从根本上解决问题，帮助孩子建立自信，树立正确的 人生观和价值观。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
父母倾听孩子的好处是什么		"认真倾听，还有利于孩子建立一个健康的心理环境，促 进孩子身心的健康成长。一旦孩子有了被父母倾听的机会，内心压抑的心境便会 自然爆发，释放情绪，倾诉心声，克服自卑，增强自信，这将有利于增强孩子的 社会交往能力和灵活应变能力。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
尊重孩子的重要性	为什么父母要尊重孩子	"尊重孩子的话语权是建立亲子关系的纽带。父母 绝对不能因为孩子小，认为他们没思想，没意识而忽略他们的阐述，不让孩子开 口说话，总是居高临下，包办代替。而是要经常地弯下腰，蹲下去，说出各自的 观点和解决方案，搭建交流平台，面对面探讨沟通，寻找最好的突破口。倘若孩 子有新颖的见解，提出意想不到的观点，我们做家长的就应该立马表明态度，支 持孩子，给孩子动力，帮助孩子分析认识上存在的误区，循序渐进，循循善诱， 启发开导，使孩子觉得自己很重要，发挥主人翁的作用。倾听，能让孩子更愿意 说;倾听，能帮助孩子说得更精彩，而且在倾听中能够促进孩子的口语发展，为 他们的成长打下良好的基础。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
家长该如何跟孩子做朋友		"认真耐心地倾听孩子的心声。不管你工作有多忙，也不管你正在忙什么，只 要孩子发出需要你倾听的信号，你将要无条件满足孩子的要求，谦虚真诚地和孩 子共同探讨，倘若你手头工作非常紧要，你也要向孩子解释清楚，请求孩子理解， 等忙完后一定去接应孩子。家长千万不能居高临下，以命令的口气呵斥孩子，导 致孩子对父母有提防心里，亲子沟通不很顺畅，孩子遮遮掩掩，欲言又止，家长 左右猜测，很难了解孩子的真实想法。另外，父母还要想方设法创设幽默风趣的 谈话方式，引导孩子畅所欲言，无所顾忌地向父母吐诉心声，同时，家长也可以 适时利导，创造条件，陪同孩子参加一些亲子游戏，鼓励孩子在玩中无意间说出 自己的真实想法，达到共同交心交友的良好亲子关系。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
为什么家长需要改变思维定势？	怎样做新时代的好家长？	"人们常说，家长不需要考证，然而，合格的家长不是人人能为。亲子之间的 代沟无处不在，这时，我们就要有意地创造一种能够耐心倾听孩子说话的氛围， 例如领孩子户外运动，旅游、散步等，共同游戏，共同参与孩子喜爱的活动，在 互动中细心领会孩子的内心世界。要允许孩子犯错误，允许孩子追时尚，赶时髦， 我们要清楚地知道，家长看不顺眼的，不一定就是不合适的。家长反而更应该改 变传统的思维方式，与时俱进，尽自己最大的努力融入到孩子当中，接纳他们。 在此，作为家长的我们需要不断的学习，进步，更需要我们从真正意义上了解社 会发展的趋势，必要的情况下还可以参加一些家长培训会，请教心理专家，跟上 时代发展的步伐。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
让孩子把话说完的重要性	为什么不要轻易打断孩子说话	"成长期的孩子，组织表达能力毕竟有限，有时父母听到孩子的“无理取闹”， “口不择言”就已失去耐心，对着孩子大吼大叫，殊不知那也许只是孩子的一种 情绪发泄，为了引起父母的重视，故意制造玄虚，这个时候，父母绝对不能仅凭 着孩子的一两句话就下结论，也有的时候，孩子说话语无伦次，没有经过逻辑思 维组织而让父母听得莫名其妙、不知所云。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
为什么倾听是一种很好的教育方式	为什么要以倾听的方式教育孩子	"因为倾听对于孩 子来说，是在表示一种尊重和关心，也促使孩子去认识自己的能力。如果孩子感 到他能够自由地对任何事情提出自己的意见，而他的认识也没有被轻视和奚落， 他就会变得毫不迟疑、无所顾虑地发表自己的意见，先是在家里，然后是学校， 将来就可以在工作上自信勇敢地正视和处理问题。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
家长应该如何陪伴孩子成长		"作为家长，我们要用眼睛去 观察孩子的世界，用心去倾听孩子的世界，走进孩子的世界，和他们共同游戏， 共同享受生活中的乐趣，做他们的知心朋友，做他们依赖、信赖的对象。父母学 会倾听孩子，走进孩子的心灵，尊重孩子的判断力，给孩子安全，自信，同时， 父母也可以享受到孩子般的乐趣，作为家长的我们，何乐而不为呢?倾听欢笑的 孩子，倾听哭泣的孩子，倾听恐惧的孩子，倾听愤怒的孩子，做孩子忠实的倾听 者，为孩子的进步而高兴，为孩子的成功而喝彩，陪伴孩子，共同成长。 
"	"[1]甄锦珠. 在倾听中陪伴孩子共同成长之我见[A]. 中国智慧工程研究会智能学习与创新研究工作委员会.2020教育信息化与教育技术创新学术研讨会年会论文集（三）[C].中国智慧工程研究会智能学习与创新研究工作委员会:中国智慧工程研究会智能学习与创新研究工作委员会,2020:4."
亲子沟通的概念是什么	早起的亲子沟通概念	Barnes（1985）最早提出亲子沟通的定义，他认为亲子沟通是指亲子之间通过沟通的途径来表达彼此间的情感和依恋以及家庭生活中矛盾的解决，从而促进家庭功能的很好的发挥。Fitzpatrick 和 David（1994）则强调亲子沟通是个动态的过程，是指亲子之间将各种信息资源进行交换。王争艳（2002）认为父母与子女将各种信息、资源、情感进行交换的目的是为了彼此之间相互了解，更加信任	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
亲子沟通的特点		"以往的研究者提出，亲子沟通在性别上具有明显的差异。Noller（1985）的研究表
明相对于男青少年，女青少年更愿意与父母进行沟通，更具有谈论的话题，且与父母
的关系更加亲密。Diiorio 和 Kelley（1999）发现青少年与父母沟通意愿方面存在显著
的性别差异，男青少年比女青少年与父母进行沟通的意愿更低，且沟通质量更差。周
宇峰和胡春霞（2012）的研究还发现亲子沟通具有年级上的差异。相对于初二年级的
亲子沟通质量，初一、高一、高二年级要高得多。 
"	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
亲子沟通如何影响孩子的冒险行为		"青少年冒险行为的形成受很多因素的影响，其中家庭因素是青少年产生冒险行为
影响最深刻的因素。有研究表明亲子关系的质量对青少年的身心和行为的发展产生重
要作用。此外，根据家庭功能理论可知,家庭成员之间有效的沟通既是形成良好亲子关
系、增加亲密感的关键途径，还是处理家庭问题和矛盾的珍贵法宝。家庭成员之间的
沟通越密切合拍，青少年的心理问题越少，从而产生的冒险行为也就越少"	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
亲子沟通和青少年的不良行为有什么关联	亲子沟通如何影响青少年不良行为	"根据家庭系统理论可知，在家庭系统中，对青少年的不良行为影响最深刻的就是
亲子关系，而亲子沟通是形成融洽、和睦的亲子关系最有效的途径。国内外心理学研
究者针对青少年心理发展的家庭影响因素与青少年不良行为的关系进行探讨与研究，
并提出了社会背景模型。该模型认为家庭中错误的教养方式会给孩子带来持续消极、
负面的影响，其中最为关注的是强制、无效的亲子沟通将通过同伴之间的交往而促使
各种不良行为的形成。 
"	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
性别如何影响青少年的自我控制力		"在性别方面，自我控制总分和思维自我控制维度在性别上具有显著性差异，女生自我控制总分和思维自我控制得分要显著高于比男生。综合国内外研究发现，女生的自我控制能力显著优于男生（焦洁，2011；Elizabeth & Cauffman, 2014;  董红，2017；宋星怡，2018）。本研究取得类似的研究结果。出现这一研究结果的原因是多方面的。首先，从中国的传统思想来说，“男主外，女主内”，男生本就倾向于拼搏斗争，争强好胜，易带有冲动性；而女生倾向于小家碧玉型，温柔勤劳，比较内敛。其次，从青少年生理发展来说，女生比男生生理发展要早，女生一般进入初中阶段就开始发育了，而男生到高中阶段身体等方面才刚开始发育，男生一般成熟比较晚，思想相对于女生比较幼稚，对自己的行为、情绪和思维等方面的控制能力较弱。最后，从青少年性格特点来说，男生个性多偏向于爱动顽皮，带有阳刚之气，爱闯祸、爱冒险，并且很重视兄弟之情，他们常常产生破坏性行为；而女生个性多偏向于安静听话，懂事乖巧，那些带有冲动性、危险性的事物常常与她们无关。 
"	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
年级如何影响青少年的自我控制力		"在年级方面，自我控制总分及三个分维度在年级上具有显著差异，在自我控制总分、情绪自我控制、思维自我控制上，初二年级均分显著高于初三、高一、高二，且初一年级的自我控制水平最低。可能是初一刚进入新的环境，学生既要适应环境，又要把经历分配到学习、人际交往、日常生活等方面，面对各种问题迎面而来，这些都推动他们快速成长，常不知所措，因此在情绪情感、行为举止不能较好的掌控。初二年级已经适应了学习环境，他们结交了一些优秀的同伴，自己也想要表现优异，严格要求及管理自己，在情绪情感和思想上具有更好的控制力。另外，高二年级的自我控制水平高于高一年级（杜帅领，朱艳丽，2019；王星，2019）。可能是高二年级学习任务繁重，学习压力增大，人生目标更明确，他们往往无暇思考其他的事情。 
"	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
如何营造家庭民主氛围	为什么要营造家庭民主氛围	"对于青少年来说，家庭因素是影响其成长和发展最早、最基本，最持久的因素，而父母是他们成长路上的最佳引路人和指导者。相关研究表明，在具有良好沟通的家庭环境中成长的孩子，具有较高的自我效能感和自我控制能力。在研究中发现，亲子沟通与青少年自我控制能力有显著的正相关关系，而与冒险行为呈负相关关系。且青少年主动与父母进行沟通的意愿很低，不敢随意表达自己的想法和观点。针对这一调查结果，父母可以从以下几方面来增进亲子沟通的有效性和自控能力水平。首先，父母要严格要求和管理自己，坚持自律、自我约束，以身作则，为青少年做个好榜样。在平日生活中父母对生活和工作的态度、计划、安排等都会潜移默化的对孩子产生影响，父母的一言一行孩子也会去模仿。如果父母在家最喜欢扣手机打游戏，那么孩子也会喜欢玩手机，认为学习索然无味；再比如父母在开车时遇堵车就开口大骂，孩子在平时也不会管理自己的情绪。所以父母要树立好榜样，营造一个良好的家庭氛围，对孩子的行为进行适当正确的引导，监督孩子养成良好的生活习惯和学习习惯，培养其自信心和自律意识，以提高他们的自我控制水平。 
"	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
为什么父母要尊重孩子的人给	家长该如何尊重青少年的人格	"尊重青少年的人格，形成平等沟通的关系。Nielsen（1998）曾提出改善亲子沟通质量、帮助家长理解孩子的准则，其中最关键的一条是父母要尊重和理解孩子，要按照他们的自我观念去思考问题和行事。这也就是说家长要尊重孩子独立的人格。在青少年早期的成长过程中，父母一直处于管理、指导等支配性地位，再加上受中国传统文化的影响，遇事时大多数父母都认为自己是‘权威’，根本不听取青少年的意见和想法，这样容易使双方产生不信任、疏远的心理，不利于建设良好的沟通气氛。另外研究表明，若青少年在与家长沟通时感受到不平等的关系，青少年会假设他们的意见不会被采纳，他们对与父母沟通的期望很低，甚至在谈话前就会选择放弃。因此，家长应该尊重孩子的人格，鼓励青少年自由表达自己的情感和观点，耐心倾听他们的想法，形成良好的沟通关系。 
"	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
父母该如何帮助孩子控制行为和情绪		丰富青少年的生活体验，养成良好的习惯。工作之余父母可带孩子体验生活，比如周末带孩子去旅游、参观养老院，保持积极乐观的心态。父母还可以与青少年培养共同的兴趣爱好，例如看书、写书法、音乐等，通过更好的沟通促进孩子健康成长，形成良好的个性，孩子渐渐养成良好的生活习惯，也就能很好的控制自己的情绪和行为，就不会从事一些冒险行为。	"[1]姬莉. 青少年亲子沟通、自我控制与冒险行为的关系及教育对策[D].河南大学,2020."
亲子之间的社交亲密指什么		"“亲密”一词最早产生于拉丁文 intimus，意味着内在和隐秘，和某人亲密
意味着了解对方隐秘的特质[1]，大学生与其父母微信使用过程中产生的亲密度又
叫做“社交亲密”，Yi Feng  Hu（2004）等在研究即时通讯工具中的亲密现象时
将亲密度分为三个维度：语言亲密、情感亲密和社交亲密[2]。社交亲密即双方在
使用媒介过程中产生的亲密。本文中大学生与其父母之间的微信沟通就是一种
“社交亲密。 
"	"[1]罗珍珍. 微信使用对大学生家庭亲子关系的影响研究[D].河南大学,2019."
